KEY,en,cs,zh_Hant,ru,de,pl,sv,bg,tl,ro,pt,fr,es,es_AR,nb,it,da,es_MX,tr,ja,fi,vi,cmn
"Alpha, Betta, whats next with these kids. OMEGA?!","Alpha, Betta, whats next with these kids. OMEGA?!",Radši si s ní nezačínejte,阿爾法、貝塔... 這群孩子接下來是要做什麼？歐米茄嗎？！,Ку-ка-ре-ку?,"Alpha, Betta was kommt als nächstes?",Temperamentna ryba,Är det en fisk eller en liten gladiator i akvariumet?,"Алфа, Бета, какво следва. ОМЕГА?!",,"Alpha, Betta, ce urmează, OMEGA ?!","Alpha, Betta, é mais o quê com estes miudos? OMEGA?!",Personne ne frappe aussi fort que la vie.,,,Er det en liten gladiator i tanken?,,Pas på at den ikke tæsker dig,Si te anda dando en tu madre,,,Taistelu vai hurmaavakala? ,,
Herring,Herring,Sleď,紅鯡魚,Сельдь,Hering,Śledź,Sill,Херинга,,Hering,Arenque ,Hareng ,,Arenque,Sild,,Sild,arenque,,,Silli,,
Not even red? What a ripoff,Not even red? What a ripoff,Jsou jich celé sledě,竟然不是紅色的？搞甚麼阿,Без шубы,Kling fasst wie dieser Film,Niestety nie po kaszubsku (jeszcze),Allt du behöver för en lyckad högtid,Дори не е червена? Каква измама,,Nici măcar nu-i roșu? Ce fraiereală!,"Peixe rápido, fizemos uma corrida é ele teve um bom ""Arranque""","Vous pouvez lui confier votre canne à pêche, vous pouvez être sûr qu'il ""la rend""",,,Helst ikke i salaten!,,Håber snart at jeg fanger en med karry,Ni es rojo? que estafa,,,Mitäs vanha kunnon silli? ,,
Mackerel,Mackerel,Makrela,鯖魚,Макрель,Makrele,Makrela,Makrill,Скумрия,,Macrou,Cavalinha,Maquereau,,Macarela,Makrell,,Markel,Macarela,,,Makrilli,,
Holy mackerel!,Holy mackerel!,"Kde je jedna, je jich spoustu",鯖天霹靂,Святые скумбрии!,Heilige Makrele!,Święta makrelo!,Heliga Makrill,Света скумрия!,,Macrouscopic,Pedro… O cavalo está aqui.,,,"Eh, Macarela (¡Ay!)",Makr-hell,,Du milde makrel!,"Eh, Macarela Ay!",,,"Makrilli, matkana siis grilli",,
Bluefin Tuna,Bluefin Tuna,Tuňák Obecný,藍鰭鮪魚,Тунец,Roter Thun,Tuńczyk błękitnopłetwy,Blåfenad tonfisk,Син тон,,Ton roșu,Atum Rabilho,Thon Rouge,,Atun rojo,Makrellstørje,,Blåfinnet tun,Atun rojo,,,Tonnikala,,
A cats' favorite snack,A cats' favorite snack,Oblíbený kočíčí pamlsek,貓咪最愛的零食,Любимое лакомство кошек,Der Lieblingssnack jeder Katze,Ulubieniec kotów i Japończyków,En katts favoritmellanmål,Любимата закуска на котките,,Ca parizeul la mâțe,O lanche preferido dos gatos,Le goûter préféré des chats,,¡Espera un momento... ni es rojo!,Favorittmaten til katter,,Bedre kendt på dåse,Y eso que no es rojo,,,Kissojen lempiherkku,,
Mola Mola,Mola Mola,Měsíčník Svítivý,翻車魚,Рыба-луна,Mola Mola,Samogłów,Klumpfisk,Мола Мола,,Mola Mola,Peixe Lua,Môle,,,Månefisk,,Klumpfisk,pez luna,,,Möhkäkala,,
A very large lad,A very large lad,"Někdo si z něj pěkně ukousl, snad brzo doroste",真是個大塊頭,Вот это здоровяк!,Er ist nicht so Schlau wie er aussieht,"Dobrze, że nie półgłów!",En ganska klumpig rackare,Не ми се моли,,Măricel băiat,Está de noite o quê?,Un très grand mec,,,Nesten like stor som månen,,En klumpet affære,Es alguien grande,,,Merien turhuudet,,
Tadpole,Tadpole,Pulec,蝌蚪,Головастик,Kaulquappe,Kijanka,Grodyngel,Попова лъжичка,,Mormoloc,Girinho,Têtard ,Renacuajo,Renacuajo,Rompetroll,,Haletudse,Renacuajo,,,Nuijapää,,
Frog in progress,Frog in progress,Žába v procesu,正在進化成青蛙,Лягушка ещё в процессе загрузки,Das funktioniert glaube wie ein Pokemon,Aspiruje do bycia żabą,En grodda kommer lastad,Жаба в процес на разработка,,Broască în devenire,Sapo em progresso,"Jamais en retard, toujours dans les temps",,,Fremtidens frosk,,Bim bam busse,Rana en progreso,,,Tuleva sammakko,,
Freshwater Shrimp,Freshwater Shrimp,Sladkovodní Kreveta,淡水蝦,Пресноводная Креветка,Süßwassergarnele,Słodkowodna krewetka,Sötvattensräka,Сладководна скарида,,Crevete de apă dulce,Camarão de agua doce,Crevette,,,Ferskvannsreke,,Ferskvandsreje,Camaron de agua fresca,,,,,
There's no way he did that,There's no way he did that,Hodí se k obleku,太蝦了吧,Он не мог этого сделать,Auf gar keinen fall hat er das getan,On nie mógł tego zrobić,Ingen chans att han gjorde sådär,Няма начин да е направил това,,Crocant,Que grande cama,,,,De reker rundt,,,No es cierto que hizo eso,,,,,
Freshwater Snail,Freshwater Snail,Sladkovodní Šnek,淡水螺,Пресноводная улитка,Süßwasser Schnecke,Ślimak słodkowodny,Sötvattenssnäcka,Сладководен охлюв,,Melc de apă dulce,Caracol de Agua Doce,Escargot d'eau douce,,,Ferskvannssnegle,,,Caracol de agua fresa,,,,,
"Snail: Cleaning your tanks since 350,000,000 BC","Snail: Cleaning your tanks since 350,000,000 BC",Šnek: Čiští vaše akvárka od roku 350 000 000 př. n. l.,這隻螺在西元前 3.5 億年起就在幫你洗魚缸了,На страже чистоты ваших аквариумов с 350 000 000 года до н.э.,Säubert dein Becken seit 350.000.000 VC,"Czyści twoje akwaria od 350,000,000 p.n.e.","Snäcka: Har rengjort dina akvarium sedan 350,000,000 f.k.",Охлюв: Почистване на резервоарите ви от 350 000 000 г.,,"Melcul: Curăță acvarii încă din 350,000,000 Î.H","Caracol : Limpando seus tanques desde 350,000,000 AC","L'Escargot : Nettoie vos aquariums depuis 350,000,000 AC",,,Snegler: Har renset tanker siden 350 000 000 år fvt.,,,"Caracol: limpiando tus tanques desde el 350,000,000 A.C",,,,,
Crayfish,Crayfish,Rak,小龍蝦,Речной Рак,Flusskrebs,Rak,Kräfta,Рак,,Langustă,Lagostim,Écrevisse,,Langostina,Ferksvannskreps,,,cangrejo de rio,,,,,
Cray cray,Cray cray,Klepyty klep,蝦蝦叫,Научи меня свистеть,Sie sind sehr klein,Gdzie one zimują?,"Kräftor går bakåt i livet, men ändå längre fram än vissa av oss",Рак так так,,Nu e o mangustă,Não sei quem é o Tim mas ele tem lagos,"Mécanicien hors pair, sa spécialité ? Le vissage.",,La chica fina del mar,Kreps kreps kreps,,,,,,,,
Bristlenose Pleco,Bristlenose Pleco,Krunýřovec,鬍子異型,Анциструс,Antennenwels,Glonojad,Grenmal,Четиноподобен Сом,,Ancistrus,Cascudo,Ancistrus,,,Antennemalle,,,pleco de nariz erizada,,,,,
"Rest well, friend","Rest well, friend","Odpočívej v pokoji, příteli",安息吧，朋友,"Хорошо отдыхай, друг","Ruhe in frieden, Freund","Odpoczywaj w pokoju, przyjacielu","Vila väl, kompis","Почивай добре, приятелю",,"Vise plăcute, prietene",Lava esse cabelo seu nojento,,,"Descansa bien, amigo",Den har nok bra signal,,,"Descansa bien, amigo",,,,"An nghỉ nhé, anh bạn",
Corydoras,Corydoras,Pancéřníček,鼠魚,Коридорасы,Corydoras,Kirysek,Pansarmalar,Коридорас,,Corydoras,Coridora,Corydoras,,Corydora,Pansermalle,,,Corydora,,,,,
The stache on this guy is emaculate,The stache on this guy is emaculate,Tenhle cápek má úžasný knír,這傢伙的鬍子簡直無懈可擊,Эти усы просто имба!,Sie essen doch keine Steine oder?,Cóż za majestatyczny wąs,Mustachen på den här grabben är magnifik,Страхотен мустак,,Are mustața impecabilă ,O bigode desse gajo é imaculado,La moustache de ce p'tit gars est impeccable,,Pero que bigote tan guapo,Barten til denne karen er plettfri,,,Que bigote tan chido,,,,,
Axolotl,Axolotl,Axolotl,六角恐龍,Аксолотль,Axolotl,Aksolotl,Axolotl,Аксолот,,Axolotl,Axolote,Axolotl,,Ajolote,Axolotl,,Axolotl,Ajolote,,,Aksolotli,Axolotl,
I wish Scrap Mechanic would get an update,I wish Scrap Mechanic would get an update,Přeju si aby Scrap Mechanic dostal update,好希望Scrap Mechanic趕快更新啊...,Вот бы вышло обновление на Scrap Mechanic,Ich wünschte Scrap Mechanic würde ein Update bekommen,"Fajnie by było, jakby Scrap Mechanic w końcu dostał aktualizację",Jag önskar att Scrap Mechanic skulle få en uppdatering,Иска ми се Механикът на скрап да получи актуализация,,Mi-aș dori ca Scrap Mechanic sa primească un update.,Acho isto muito estranho ,,,,Jeg skulle ønske Scrap Mechanic snart fikk en oppdatering,,,Ojala actualizen scrap mechanic,,,,,
Red King Crab,Red King Crab,Kamčatský Královský Krab,紅帝王蟹,Камчатский краб,Rote Königskrabbe,Czerwony krab królewski,Röd kungsrabba,Червен кралски рак,,Crab regal roșu,Caranguejo Real,Crabe royal,,Cangrejo real rojo,Kongekrabbe,,,Cangrejo real rojo,,,Kuningasrapu,Cua hoàng đế đỏ,
The king of all crabs,The king of all crabs,Král všech krabů,眾蟹之王,Король всех крабов,Der König aller Krabben,Król wszystkich krabów,Krabbornas konung,Царят на всички раци,,Regele tuturor crabilor !,Sua alteza,Le roi de tout les crabes,,El rey de los cangrejos,Kongen av alle krabber,,,El rey de los cangrejos,,,Kaikkien rapujen valtija,Vua của loài cua,
Pink Frogfish,Pink Frogfish,Růžový Rozedranec,粉紅娃娃魚,Розовая Рыба-Лягушка,Rosa Anglerfisch,Różowa żabnica,Rosa Grodfisk,Розова риба-жаба,,Pește-Broască roz,Peixe-rã rosado,poisson-grenouille rose,,Pez rana rosa,Sargassoulke,,,Pez rana rosa,,,,Cá ếch hồng,
"Not quite a frog, not quite a fish","Not quite a frog, not quite a fish",Chudáka někdo pěkně roztrhal,不像青蛙，也不太像魚,Ни рыба ни мясо,"Nicht ganz ein Frosch, nicht ganz ein Fisch","Ni to żaba, ni to ryba","Inte riktigt en groda, inte riktigt en fisk","Не съвсем жаба, не съвсем риба",,Nu exact o broască,"Nem parece ser um peixe, quanto  menos uma rã",Poisson ? non. Grenouille ? non. Un peu des deux!,,"Ni un pez, ni una rana",,,,"Ni pez, ni rana",,,,Cá lai ếch,
Stonefish,Stonefish,Ropušnice,石頭魚,Рыба-камень,Steinfisch,Synanceia ,Stenfisk,Риба камък,,,Synanceia,Poisson-pierre,,Pez piedra,Piggfinnefisk,,,Pez piedra,,,Velhokala,Cá đá rạn san hô,
Rock and stone!,Rock and stone!,"Možná když jí políbíte, promění se v mořskou pannu",為了岩石與石頭！!,Rock and stone!,Steinhart!,Jadowity kamień,Stenhård,Скала и камък!,,Tare ca piatra !,Sei-lá ,Il croque sous la dent,,¡Roca y Piedra!,Piggete finne,,,¡Roca y piedra!,,,,Thuần đá!,
Quahog,Quahog,Škeble,大圓蛤,Квахог,Nordische Venusmuschel,Małż twardy,Hård venusmussla,Куахог,,Scoică Quahog,Amêijoa-mercenária ,Mercenaire,,Almeja Quahog,Mercenaria,,,Almeja quahog,,,,Nghêu,
Giggity,Giggity,Neškleb se,蛤!?,Не квакает,Klingt fasst wie der Planet,Bezkręgowy twardziel,Musslornas Afrodite,Гигити(Giggity),,Giggity!,Eu sou dispensável,,,Giggity,Klapp klapp,,,Giggity,,,,,
Credits,Credits,Titulky,製作人員名單,Титры,Credits,Podziękowania,Medverkande,Кредити,,,Créditos ,Crédits,,Creditos,Kreditter,,,Creditos,,,Lopputekstit,Credits,
Programming,Programming,Programování,程式開發,Программирование,Programmierung,Programowanie,Programmering,Програмиране,,,Programação ,,,Programación,Programmering,,Programmering,Programacion,,,Ohjelmointi,Lập trình,
Art,Art,Art,美術設計,Арты,Kunst,Grafika,Grafik,Изкуство,,,Arte ,Art,,Arte,Kunst,,Kunst,Arte,,,Taide,,
Sound,Sound,Zvuky,音效製作,Звук,Sound,Dźwięk,Ljud,Звук,,,Som ,Son,,Sonido,Lyd,,Lyd,Sonido,,,Äänet,,
Music,Music,Hudba,音樂創作,Музыка,Musik,Muzyka,Musik,Музика,,,Musica ,musique,,Música,Musikk,,Musik,Musica,,,Musiikki,,
Closed Testers,Closed Testers,Testeři Uzavřeného Přístupu,封閉測試員,Закрытые Тестировщики,Geschlossene Tester,Testerzy,Testare,Затворени тестери,,,Testadores ,Testeurs,,,Testere,,,Probadores ,,,Suljetut pelintestaajat,,
Translators,Translators,Překladatelé,翻譯團隊,Переводчики,Übersetzer,Tłumacze,Översättare,Преводачи,,,Tradutores ,Traducteurs,,Traductores,Oversettere,,Oversættere,Traductores,,,Kääntäjät,Phiên dịch viên,
Special Thanks,Special Thanks,Speciální Poděkování,特別感謝,Отдельная Благодарность,Besonderes Danke,Specjalne podziękowania,Extra tack,Специални благодарности,,,Agradecimentos especiais  ,remerciment spéciaux,,Gracias Especiales,Spesielt takk,,Specielt tak,Agradecimientos especiales,,,Erityiskiitos ,Đặc biệt cảm ơn,
Publishers,Publishers,Vydavatelé,發行商,Издатели,Publichers,Wydawcy,Utgivare,Издатели,"TRADUCERILE TREBUIE FACUTE PE COLOANA DIN DREAPTA (COLOANA K), TU LE AI PUS PE ALTA COLOANA",,Editor,,,Publicadores,Utgivere,,Udgivere,Publicadores,,,Julkaisijat,Nhà xuất bản,
KEY_TUTORIAL_INTRO,"Hey there kiddo! I'm glad your taking the reins on my aquarium. Your grandma needs help with baking anyways.

I've let this place rundown a bit, but now's your chance to rennovate it and [color=#68c2d3]create a thriving business![/color]","Ahoj, prcku! Jsem rád, že se staráš o moje akvárium. Tvoje babička stejně potřebuje pomoct s pečením.

Nechal jsem tohle místo trochu zchátralé, ale teď máš šanci ho zrenovovat a [color=#68c2d3]vytvořit prosperující podnik![/color]",嘿，孩子！很高興由你來接手我的水族館，反正你奶奶那邊也確實需要人幫忙烤餅乾。我讓這地方荒廢了一陣子，但現在是你整修它並 [color=#68c2d3]建立興旺事業[/color] 的好機會！,"Эй, дружище! Я рад что ты приручил мой аквариум. В любом случае, твоей бабушке нужна помощь с готовкой.

Я немного запустил это место, но теперь ты можешь обновить его и [color=#68c2d3]создать процветающий бизнес![/color]","Hallo kiddo! Ich bin froh das du das Aquarium übernimmst. Deine Oma braucht eh hilfe mit den Keksen.

Ich habe den Platz ein bisschen runterkommen lassen. Doch dies lässt dir die Möglichkeit zu renovieren und ein [color=#68c2d3] Business Imperium[/color] aufbauen!","Miło cię widzieć! Cieszę się, że przejąłeś stery mojego akwarium. Twoja babcia i tak potrzebuje pomocy w pieczeniu. Trochę zapuściłem to miejsce, ale teraz twoja kolej, żeby je odrestaurować. [color=#68c2d3] Rozkręć ten biznes![/color]","Hej lillen! Det glädjer mig att du ska ta över mitt akvarium. Din farmors kakor bakar inye direkt sig själva.

Jag har låtit detta stället förfalla lite, men nu är det din chans att renovera det och [color=#68c2d3] skapa ett blomstrande företag![/color]","„Здравей, хлапе! Радвам се, че поемаш юздите на моя аквариум. Баба ти така или иначе има нужда от помощ с печенето.

Оставих това място малко да се занемарява, но сега е твоят шанс да го ремонтираш и [color=#68c2d3]да създадеш процъфтяващ бизнес![/color]“",,,"Olá miúdo ! Fico feliz por pegares em carga o meu aquário. Tua avó precisa ajuda na cozinha de toda maneira. 

Abandonei um pouco este lugar, mas agora é a tua oportunidade para renovar tudo e criar um negócio próspero [color=#68c2d3]criar![/color] ","Hey mon grand ! Je suis content que tu reprennes les rênes de mon Aquarium. Ta mamie a besoin d'aide avec ses pâtisseries de toute façon.

J'ai un peu laissé l'endroit se délabrer, mais c'est l'occasion pour toi de le rénover et de [color=#68c2d3]créer un buisness fructueux ![/color]",,,"Hei der kompis! Jeg er glad for at du tar over akvariet mitt. Bestemoren din trenger hjelp med bakingen uansett. 

Jeg har latt dette stedet forfalle litt, men her er sjansen din til å renovere det og [color=#68c2d3] bygge en blomstrende bedrift![/color]",,,"Hey chamaco! Que bueno que aceptaste los reinos en mi acuario, Tu abuela necesita ayuda cocinando de todas formas

Deje que este lugar se deteriore un poco, pero ahora es tu lugar de renovarlo y [color=#68c2d3] crear un negocio floreciente! [/color]",,,"Hei skidi! Olen ylpeä että otat vastuuta akvaariostani. Sinun isoäiti tarvitsee apua leipomisen kanssa muutenkin.																																							Olen jättänyt tämän mestan vähän aikansa kuluneeksi, mutta nyt on mahdollisuutesi remontoida ja [color=#68c2d3] luoda menestyvä yritys! [/color] ",,
KEY_TUTORIAL_TRAVEL,"[color=#9cb882]Travel[/color] [img=24]res://Sprites/Icons/icon_travel.png[/img] to the [color=#68c2d3]Pond[/color] to catch some [color=#9cb882]fish[/color], and I'll meet back with you here!",[color=#9cb882]Vydej se[/color] [img=24]res://Sprites/Icons/icon travel.png[/image] k [color=#68c2d3]rybníku[/color] chytit nějaké [color=#9cb882]ryby[/color] a já se tady s tebou zase potkám!,[color=#9cb882]旅行[/color] [img=24]res://Sprites/Icons/icon_travel.png[/img] 至[color=#68c2d3]池塘[/color] 釣些 [color=#9cb882]魚[/color] 吧，我會在這裡等你回來！,,[color=#9cb882]Reise[/color] [img=24]res://Sprites/Icons/icon travel.png[/image] zum [color=#68c2d3]Teich[/color] um ein paar [color=#9cb882]Fische[/color] zu fangen!,"[color=#9cb882]Udaj się[/color] [img=24]res://Sprites/Icons/icon_travel.png[/img] nad [color=#68c2d3]Staw[/color], aby złowić jakieś [color=#9cb882]ryby[/color]. Tam się spotkamy!","[color=#9cb882]Åk[/color] [img=24]res://Sprites/Icons/icon travel.png[/image] Till [color=#68c2d3]Dammen[/color] För att fånga några [color=#9cb882]Fiskar[/color], Och jag kommer möta dig när du är tilbaka här!","[color=#9cb882]Пътувай[/color] [img=24]res://Sprites/Icons/icon travel.png[/image] до [color=#68c2d3]Езерцето[/color], за да хванеш малко [color=#9cb882]риба[/color], и ще се срещнем отново тук!",,,"color=#9cb882]Viaje[/color] [img=24]res://Sprites/Icons/icon_travel.png[/img] ao[color=#68c2d3]Lago[/color] para apanhar alguns [color=#9cb882]peixes[/color], e a gente vê-se aqui depois!","[color=#9cb882]Voyager[/color] [img=24]res://Sprites/Icons/icon_travel.png[/img] à l' [color=#68c2d3]Étang[/color] pour attraper des [color=#9cb882]poissons[/color], puis retrouve moi ici!",,,"[color=#9cb882]Reis[/color] [img=24]res://Sprites/Icons/icon travel.png[/image] til [color=#68c2d3]Dammen[/color] for å fange [color=#9cb882]fisk[/color], og så møter jeg deg her når du kommer tilbake!",,,,,,"[color=#9cb882] matkusta [/color] [img=24}res://Sprites/Icons/icon_travel.png[/img] tuonne [color=#68c2d3] lampeen [/color] nappaamaan pari [color=#9cb882] kalaa [/color], tavataan täällä sen jälkeen! ",,
KEY_TUTORIAL_SELL,Great work! Go ahead and sell some of your new fish from your [color=#9cb882]Inventory[/color] [img=24]res://Sprites/Icons/icon_inventory.png[/img].,Skvělá práce! Dej se do toho a prodej ryby ze svého [color=#9cb882]inventáře[/color] [img=24]res://Sprites/Icons/icon_inventory.png[/img].,做得好！現在去 [color=#9cb882]道具欄[/color] [img=24]res://Sprites/Icons/icon_inventory.png[/img] 裡把剛釣到的魚賣掉吧。,Хорошая работа! Теперь иди и продай немного твоей новой рыбы из твоего [color=#9cb882]Инвентаря[/color] [img=24]res://Sprites/Icons/icon_inventory.png[/img].,Gute Arbeit! Nun verkaufe ein paar deiner Fische für ein bisschen Einkommen. Gehe dafür in dein [color=9cb882]Inventar[/color][img=24]res://Sprites/Icons/icon_inventory.png[/img],Świetna robota! Teraz udaj się sprzedać nowe ryby ze swojego [color=#9cb882]Ekwipunku[/color] [img=24]res://Sprites/Icons/icon_inventory.png[/img].,Bra jobbat! Gå vidare med att sälja några av dina nya fiskar från ditt [color=#9cb882] Förråd[/color] [img=24]res://Sprites/Icons/icon_inventory.png[/img],"Страхотна работа! Хайде, продай част от новите си рибки от твоят [color=#9cb882]Инвентар[/color] [img=24]res://Sprites/Icons/icon_inventory.png[/img].",,,Bom Trabalho! Vai vender alguns dos teus peixes do teu [color=#9cb882] inventário[/color] [img=24]res://Sprites/Icons/icon_inventory.png[/img].,,,,Bra jobba! Selg noen av de nye fiskene fra [color=#9cb882] inventaret[/color] [img=24]res://Sprites/Icons/icon_inventory.png[/img],,,,,,Hyvää työtä! Mene myymään pari uutta kalaasi sinun [color=#9cb882] inventarioosta [/color] [img=24] res://Sprites/Icons/icon_inventory.png[/img],,
KEY_TUTORIAL_TANK,Now save up to buy a [color=#68c2d3]Tank[/color] [img=24]res://Sprites/Icons/icon_fish_tank.png[/img] so that you can start generating some passive income!,"Teď si našetři na koupi [color=#68c2d3]akvária[/color] [img=24]res://Sprites/Icons/icon_fish_tank.png[/img], abys mohl začít generovat pasivní příjem!",現在存錢買個 [color=#68c2d3]水槽[/color] [img=24]res://Sprites/Icons/icon_fish_tank.png[/img] ，這樣你就能開始賺取被動收益了！,Теперь накопите чтобы купить [color=#68c2d3]Tank[/color] [img=24]res://Sprites/Icons/icon_fish_tank.png[/img] для того чтобы вы могли начать генерировать пассивный доход!,Nun spare ein bisschen um dir ein [color=68c2d3]Becken[/color][img=24]res://Sprites/Icons/icon_fish_tank.png[/img]  zu kaufen und passives Einkommen zu generieren.,"Teraz możesz zebrać oszczędności na [color=#68c2d3]Akwarium[/color] [img=24]res://Sprites/Icons/icon_fish_tank.png[/img], aby zacząć generować pasywny przychód!",Spara nu upp till att köpa ett [color=#68c2d3]Akvarium[/color] [img=24]res://Sprites/Icons/icon_fish_tank.png[/img] Så att du kan börja generera lite passiv inkomst!,"Сега спести, за да си купиш [color=#68c2d3]Аквариум[/color] [img=24]res://Sprites/Icons/icon_fish_tank.png[/img], за да можеш да започнеш да генерираш пасивен доход!",,,Agora economia par comprar um [color=#68c2d3]Tanque[/color] [img=24]res://Sprites/Icons/icon_fish_tank.png[/img] para começares a gerar um rendimento passivo,,,,Spar opp for å kjøpe en [color=#68c2d3]tank[/color] [img=24]res://Sprites/Icons/icon_fish_tank.png[/img] slik at du kan begynne å tjenne passiv inntekt!,,,,,,,,
KEY_TUTORIAL_MOVE,"Move a fish from your inventory into a tank, and watch the cash flow in!

If you don't have any more, just go catch one from the [color=#68c2d3]Pond[/color].","Přesuň rybu z inventáře do akvária a pak už jenom sleduj jak proudí peníze!

Pokud už žádnou nemáš, jdi si jednu chytit z [color=#68c2d3]rybníka[/color].",將一條魚從道具欄移入水槽，然後就等著錢進到你的口袋裡來吧！如果你手邊沒魚了，就去 [color=#68c2d3]池塘[/color] 再釣一條。,Переместите рыбу из вашего инвентаря в аквариум и наблюдайте как деньги ,"Bewege einen Fisch von deinem Inventar in ein Becken und schau wie das Geld fliesst.

Wenn du keine mehr hast, geh einfach einen im [color=#68c2d3]Teich[/color] fangen.","Przenieś rybę ze swojego ekwipunku do akwarium i zobacz, jak nabiera wody w skrzela!
Jeśli żadnej nie masz, po prostu wyłów jakąś ze [color=#68c2d3]Stawu[/color].","Förflytta en fisk från ditt förråd till ett akvarium, och kolla på när pengarna rullar in!

Om du inte har några fler, gå bara och fånga en ifrån [color=#68c2d3]Dammen[/color].","„Премести риба от инвентара ти в аквариум и наблюдавай как парите вливат!

Ако нямате повече, просто отидете да хванете една от [color=#68c2d3]Езерцето[/color].“",,,"Move um peixe do teu inventário para um tanque, e vê o dinheiro a aparecer

Se não tens nenhum, vai apanhar um no [color=#68c2d3]Lago[/color].",,,,"Flytt en fisk fra inventaret til tanken, og se pengene flyte inn!

Hvis du ikke har flere, så fang en fra [color=#68c2d3]Dammen[/color].",,,,,,,,
KEY_TUTORIAL_GOODBYE,"Great work kiddo. I know you'll take good care of the place.

That's all from me for now. Good luck, and I'll be watching the fish swim by from time to time!","Skvělá práce, prcku. Vím, že se o to místo dobře postaráš.

To je ode mě prozatím vše. Hodně štěstí, přijdu se občas podívat, jak kolem plavou rybičky!",做得好，孩子。我知道你會好好打理這個地方的。我就交待到這裡，祝你好運，我也會不時過來看看那些游來游去的魚兒們！,"Хорошая работа, дружище. Я знаю ты хорошо позаботишься за это место.

Это всё что я хотел сказать. Удачи, и я буду смотреть как иногда проплывают рыбы!","Gute Arbeit kiddo. Ich weiß das du dich um diesen Ort gut kümmern wirst.

Das war alles von mir. Viel Erfolg und ich werde ab und zu mal vorbeischauen.","Odwaliłeś kawał dobrej roboty, młody. Wierzę, że zostawiam to miejsce w dobrych rękach.

Nie będę zawracał ci już głowy. Trzymam za ciebie kciuki, a w międzyczasie pogapie się w wodę!","Bra jobbat lillen. Jag vet att du kommer ta väl hand om det här stället.

Det var allt från mig för nu. Lycka till, och jag kommer kolla på när fiskarna simmar förbi ibland!","„Страхотна работа, хлапе. Знам, че ще се грижиш добре за мястото.

Това е всичко от мен засега. Успех и ще гледам как рибките плуват от време на време!“",,,"Bom trabalho miúdo. Eu sei que vais tomar boa conta do lugar. 

É tudo por mim por agora. Boa sorte e eu vou vendo os peixes a nadar de vez em quanto.",,,,,,,,,,,,
Gameplay,Gameplay,Hratelnost,遊玩設定,Игра,Gameplay,Rozgrywka,Gameplay,Геймплей,,Gameplay,Jogabilidade  ,,,,,,,Jugabilidad,,,Pelattavuus,,
Fishing Nibbles,Fishing Nibbles,Rybářské Kousance,咬鉤提示,Рыболовные Закуски,Leichte Bisse,Zanęta,Fiskenappar,Риболовни хапки,,,Petiscos de Pesca,,,,,,,,,,,,
Accept Trade,Accept Trade,Přijmout Obchod,接受交易,Принять обмен,Aktzeptiere Handel,Zaakceptuj wymianę,Acceptera bytet,Приемам размяна,,,Aceitar Troca,Accepter Échange,,Aceptar Intercambio,,,Accepter byttehandel,Aceptar intercambio,,,Hyväksy vaihto,Chấp nhận trao đổi,
No Thanks,No Thanks,Ne Díky,不了 謝謝,"Нет, спасибо",Nein Danke,Nie dzięki,Nej tack,"Не, благодаря",,,Não Obrigada ,non merci,,No Gracias,,,Nej tak,No gracias,,,Ei kiitos,,
Out of time!,Out of time!,Vypršel čas!,時間結束！,Время вышло!,Zeit abgelaufen,Koniec czasu!,Tiden tog slut!,Времето изтече!,,Nu mai ai timp!,Falta de tempo!,Le temps est finis!,,Fuera de tiempo!,,,,Se te acabo el tiempo!,,,,Hết thời gian!,
{quantity} seconds left!,{quantity} seconds left!,{quantity} sekund zbývá!,還剩下{quantity} 秒！,Осталось {quantity} секунд!,{quantity} Sekunden verbleibend!,{quantity} sekund do końca!,{quantity} sekunder kvar!,Остават {quantity} секунди!,,Mai ai {quantity} secunde !,Faltam {quantity} segundos!,il reste {quantity} second,,¡Quedan {quantity} segundos!,,,,¡Te quedan {quantity} segundos!,,,,{quantity} giây còn lại!,
Minigame Time Limits,Minigame Time Limits,Časový Limit Miniher,小遊戲時間限制,Лимит на Время Мини-Игр,Minispiel Zeit Limits,Limit czasowy minigier,Tidsbegränsningar för Minigame,Времеви ограничения за мини играта,,,Limite de tempo do minijogo,Limite du temps du mini-jeu,,Limites de Tiempo del Minijuego,,,,Limite de tiempo de minijuego,,,,,
Fishpedia,Fishpedia,Rybopedie,魚寶典,Рыбопедия,Fischpedia,Rybopedia,Fiskopedia,Рибопедия,,,Peixepédia,Poissonpédie,,Pescapedia,,,,Pescapedia,,,,,
{quantity} Discovered,{quantity} Discovered,{quantity} Objeveno,{quantity} 發現,{quantity} Открыто,{quantity} Gefunden,{quantity} Odkryte,{quantity} upptäckta,{quantity} Открит,,,{quantity} Descobertos,{quantity} Découverts,,,,,,{quantity} Descubierto,,,,{quantity} Đã phát hiện,
Caught {quantity} {name},Caught {quantity} {name},Chyceno {quantity} {name},捕獲{quantity} {name},Поймано {quantity} {name},{quantity} {name} Gefangen,Złapano {quantity} {name},{quantity} {name} fångade,Уловен {quantity} {name},,Capturat {quantity} {name},Apanho {quantity} {name},{quantity} Découverte,,Atrapaste {quantity} {name}!,,,,Atrapaste {quantity} {name}!,,,,Đã bắt {quantity} {name},
